,Region,County,First Dose,Series Complete,Report as of
262,Western New York,Erie,1639,2,12/18/2020
263,North Country,Essex,19,0,12/18/2020
264,North Country,Franklin,54,0,12/18/2020
265,Mohawk Valley,Fulton,16,0,12/18/2020
266,Finger Lakes,Genesee,19,0,12/18/2020
267,Capital Region,Greene,23,0,12/18/2020
268,North Country,Hamilton,0,0,12/18/2020
269,Mohawk Valley,Herkimer,41,0,12/18/2020
270,North Country,Jefferson,18,0,12/18/2020
271,New York City,Kings,2060,13,12/18/2020
272,North Country,Lewis,3,0,12/18/2020
273,Finger Lakes,Livingston,37,0,12/18/2020
274,Central New York,Madison,46,0,12/18/2020
275,Finger Lakes,Monroe,1123,1,12/18/2020
276,Mohawk Valley,Montgomery,19,0,12/18/2020
277,Long Island,Nassau,1665,2,12/18/2020
278,New York City,New York,3483,10,12/18/2020
279,Western New York,Niagara,135,0,12/18/2020
280,Mohawk Valley,Oneida,260,0,12/18/2020
281,Central New York,Onondaga,709,1,12/18/2020
282,Finger Lakes,Ontario,59,0,12/18/2020
283,Mid-Hudson,Orange,475,5,12/18/2020
284,Finger Lakes,Orleans,11,0,12/18/2020
285,Central New York,Oswego,30,0,12/18/2020
286,Mohawk Valley,Otsego,6,0,12/18/2020
287,Mid-Hudson,Putnam,78,2,12/18/2020
288,New York City,Queens,1751,8,12/18/2020
289,Capital Region,Rensselaer,187,0,12/18/2020
290,New York City,Richmond,667,0,12/18/2020
291,Mid-Hudson,Rockland,427,1,12/18/2020
292,Capital Region,Saratoga,344,0,12/18/2020
293,Capital Region,Schenectady,274,0,12/18/2020
294,Mohawk Valley,Schoharie,12,0,12/18/2020
295,Southern Tier,Schuyler,0,0,12/18/2020
296,Finger Lakes,Seneca,4,0,12/18/2020
297,North Country,St. Lawrence,415,1,12/18/2020
298,Southern Tier,Steuben,6,0,12/18/2020
299,Long Island,Suffolk,1304,5,12/18/2020
300,Mid-Hudson,Sullivan,23,0,12/18/2020
301,Southern Tier,Tioga,3,0,12/18/2020
302,Southern Tier,Tompkins,5,0,12/18/2020
303,Mid-Hudson,Ulster,154,1,12/18/2020
304,Capital Region,Warren,74,0,12/18/2020
305,Capital Region,Washington,28,0,12/18/2020
306,Finger Lakes,Wayne,29,1,12/18/2020
307,Mid-Hudson,Westchester,1420,5,12/18/2020
308,Finger Lakes,Wyoming,14,0,12/18/2020
309,Finger Lakes,Yates,4,0,12/18/2020
310,Capital Region,Albany,781,2,12/19/2020
311,Western New York,Allegany,41,0,12/19/2020
312,New York City,Bronx,669,2,12/19/2020
313,Southern Tier,Broome,10,0,12/19/2020
314,Western New York,Cattaraugus,145,0,12/19/2020
315,Central New York,Cayuga,28,0,12/19/2020
316,Western New York,Chautauqua,133,0,12/19/2020
317,Southern Tier,Chemung,5,1,12/19/2020
318,Southern Tier,Chenango,3,0,12/19/2020
319,North Country,Clinton,39,1,12/19/2020
320,Capital Region,Columbia,82,0,12/19/2020
321,Central New York,Cortland,5,0,12/19/2020
322,Southern Tier,Delaware,4,0,12/19/2020
323,Mid-Hudson,Dutchess,321,0,12/19/2020
324,Western New York,Erie,1861,2,12/19/2020
325,North Country,Essex,24,0,12/19/2020
326,North Country,Franklin,92,0,12/19/2020
327,Mohawk Valley,Fulton,19,0,12/19/2020
328,Finger Lakes,Genesee,19,0,12/19/2020
329,Capital Region,Greene,33,0,12/19/2020
330,North Country,Hamilton,0,0,12/19/2020
331,Mohawk Valley,Herkimer,54,0,12/19/2020
332,North Country,Jefferson,23,0,12/19/2020
333,New York City,Kings,2863,15,12/19/2020
334,North Country,Lewis,4,0,12/19/2020
335,Finger Lakes,Livingston,43,0,12/19/2020
336,Central New York,Madison,63,0,12/19/2020
337,Finger Lakes,Monroe,1406,2,12/19/2020
338,Mohawk Valley,Montgomery,32,0,12/19/2020
339,Long Island,Nassau,2331,3,12/19/2020
340,New York City,New York,3890,10,12/19/2020
341,Western New York,Niagara,206,0,12/19/2020
342,Mohawk Valley,Oneida,320,0,12/19/2020
343,Central New York,Onondaga,828,1,12/19/2020
344,Finger Lakes,Ontario,95,0,12/19/2020
345,Mid-Hudson,Orange,774,6,12/19/2020
346,Finger Lakes,Orleans,13,0,12/19/2020
347,Central New York,Oswego,34,0,12/19/2020
348,Mohawk Valley,Otsego,72,0,12/19/2020
349,Mid-Hudson,Putnam,91,2,12/19/2020
350,New York City,Queens,2053,9,12/19/2020
351,Capital Region,Rensselaer,209,0,12/19/2020
352,New York City,Richmond,899,0,12/19/2020
353,Mid-Hudson,Rockland,587,1,12/19/2020
354,Capital Region,Saratoga,481,1,12/19/2020
355,Capital Region,Schenectady,302,0,12/19/2020
356,Mohawk Valley,Schoharie,13,0,12/19/2020
357,Southern Tier,Schuyler,0,0,12/19/2020
358,Finger Lakes,Seneca,7,0,12/19/2020
359,North Country,St. Lawrence,511,1,12/19/2020
360,Southern Tier,Steuben,6,0,12/19/2020
361,Long Island,Suffolk,1585,7,12/19/2020
362,Mid-Hudson,Sullivan,41,0,12/19/2020
363,Southern Tier,Tioga,3,0,12/19/2020
364,Southern Tier,Tompkins,6,0,12/19/2020
365,Mid-Hudson,Ulster,190,1,12/19/2020
366,Capital Region,Warren,107,0,12/19/2020
367,Capital Region,Washington,39,0,12/19/2020
368,Finger Lakes,Wayne,38,1,12/19/2020
369,Mid-Hudson,Westchester,1601,6,12/19/2020
370,Finger Lakes,Wyoming,15,0,12/19/2020
371,Finger Lakes,Yates,5,0,12/19/2020
372,Capital Region,Albany,806,2,12/20/2020
373,Western New York,Allegany,45,0,12/20/2020
374,New York City,Bronx,699,2,12/20/2020
375,Southern Tier,Broome,15,0,12/20/2020
376,Western New York,Cattaraugus,160,0,12/20/2020
377,Central New York,Cayuga,30,0,12/20/2020
378,Western New York,Chautauqua,139,0,12/20/2020
379,Southern Tier,Chemung,5,1,12/20/2020
380,Southern Tier,Chenango,8,0,12/20/2020
381,North Country,Clinton,40,1,12/20/2020
382,Capital Region,Columbia,84,0,12/20/2020
383,Central New York,Cortland,5,0,12/20/2020
384,Southern Tier,Delaware,6,0,12/20/2020
385,Mid-Hudson,Dutchess,328,0,12/20/2020
386,Western New York,Erie,2123,3,12/20/2020
387,North Country,Essex,26,0,12/20/2020
388,North Country,Franklin,128,0,12/20/2020
389,Mohawk Valley,Fulton,30,0,12/20/2020
390,Finger Lakes,Genesee,22,0,12/20/2020
391,Capital Region,Greene,35,0,12/20/2020
392,North Country,Hamilton,1,0,12/20/2020
393,Mohawk Valley,Herkimer,74,0,12/20/2020
394,North Country,Jefferson,27,0,12/20/2020
395,New York City,Kings,3186,15,12/20/2020
396,North Country,Lewis,4,0,12/20/2020
397,Finger Lakes,Livingston,48,0,12/20/2020
398,Central New York,Madison,72,0,12/20/2020
399,Finger Lakes,Monroe,1578,2,12/20/2020
400,Mohawk Valley,Montgomery,61,0,12/20/2020
401,Long Island,Nassau,2524,3,12/20/2020
402,New York City,New York,4118,11,12/20/2020
403,Western New York,Niagara,224,0,12/20/2020
404,Mohawk Valley,Oneida,354,0,12/20/2020
405,Central New York,Onondaga,902,1,12/20/2020
406,Finger Lakes,Ontario,101,0,12/20/2020
407,Mid-Hudson,Orange,848,7,12/20/2020
408,Finger Lakes,Orleans,17,0,12/20/2020
409,Central New York,Oswego,40,0,12/20/2020
410,Mohawk Valley,Otsego,129,0,12/20/2020
411,Mid-Hudson,Putnam,95,2,12/20/2020
412,New York City,Queens,2193,10,12/20/2020
413,Capital Region,Rensselaer,221,0,12/20/2020
414,New York City,Richmond,1056,0,12/20/2020
415,Mid-Hudson,Rockland,602,1,12/20/2020
