ZIP,People with at least one vaccine dose,People with completed vaccine series,People with up-to-date vaccines,reportedDate
55399,<= 5,<= 5,<= 5,9/14/2022
56026,1091,1039,433,9/14/2022
55006,1730,1638,578,9/14/2022
56014,409,392,152,9/14/2022
56244,697,652,222,9/14/2022
56549,3128,2966,1163,9/14/2022
55130,12135,10964,4263,9/14/2022
56110,985,936,287,9/14/2022
56115,729,704,251,9/14/2022
56221,433,416,145,9/14/2022
55973,152,149,53,9/14/2022
56621,2015,1894,647,9/14/2022
55601,103,100,41,9/14/2022
56046,51,48,13,9/14/2022
55066,13427,12770,6871,9/14/2022
55332,1072,1025,339,9/14/2022
56312,1016,975,381,9/14/2022
56245,251,238,64,9/14/2022
56548,455,425,115,9/14/2022
55917,2084,2001,894,9/14/2022
56479,2648,2530,877,9/14/2022
55354,1523,1461,463,9/14/2022
55459,<= 5,<= 5,<= 5,9/14/2022
56374,5440,5159,2429,9/14/2022
55311,31125,29478,15669,9/14/2022
56331,911,866,291,9/14/2022
55430,17261,15911,6893,9/14/2022
55991,841,812,350,9/14/2022
56289,395,384,170,9/14/2022
56584,797,763,280,9/14/2022
55377,28,25,7,9/14/2022
55805,6522,6045,3256,9/14/2022
56357,408,381,129,9/14/2022
56042,394,381,151,9/14/2022
55067,14,13,<= 5,9/14/2022
56047,27,26,9,9/14/2022
56169,327,320,100,9/14/2022
55977,129,125,53,9/14/2022
56528,1074,1009,390,9/14/2022
56225,431,415,160,9/14/2022
55170,<= 5,<= 5,<= 5,9/14/2022
56150,1406,1356,450,9/14/2022
56658,<= 5,<= 5,<= 5,9/14/2022
56155,202,192,56,9/14/2022
55175,6,<= 5,<= 5,9/14/2022
55912,19939,18794,8597,9/14/2022
56240,508,491,181,9/14/2022
55071,3915,3702,1474,9/14/2022
56051,391,373,159,9/14/2022
55750,1269,1223,567,9/14/2022
56263,248,240,62,9/14/2022
55931,206,201,86,9/14/2022
55372,25205,23954,10771,9/14/2022
56581,125,112,33,9/14/2022
56352,3130,2995,1046,9/14/2022
56180,774,744,231,9/14/2022
55427,19322,18342,10236,9/14/2022
55901,47377,44726,25589,9/14/2022
56253,488,470,184,9/14/2022
55716,142,137,41,9/14/2022
56736,506,469,158,9/14/2022
56336,839,804,313,9/14/2022
55316,18009,17166,8058,9/14/2022
56387,4607,4180,1709,9/14/2022
56554,1676,1604,534,9/14/2022
55574,<= 5,<= 5,<= 5,9/14/2022
56551,1225,1172,436,9/14/2022
56382,658,620,210,9/14/2022
55128,22110,21022,9699,9/14/2022
55123,23545,22345,12721,9/14/2022
56131,1403,1360,442,9/14/2022
55111,126,106,56,9/14/2022
55606,250,233,130,9/14/2022
56626,266,239,74,9/14/2022
56688,52,49,31,9/14/2022
56756,380,363,95,9/14/2022
56185,304,294,90,9/14/2022
55010,48,43,15,9/14/2022
56030,6,<= 5,<= 5,9/14/2022
56386,393,375,149,9/14/2022
56258,9432,8926,3117,9/14/2022
55575,<= 5,<= 5,<= 5,9/14/2022
56301,19867,18313,7785,9/14/2022
55321,2068,1988,748,9/14/2022
55401,10061,9231,5992,9/14/2022
55712,280,264,116,9/14/2022
56732,554,530,215,9/14/2022
56447,621,600,231,9/14/2022
55467,<= 5,<= 5,<= 5,9/14/2022
56294,38,36,13,9/14/2022
55056,7818,7471,3028,9/14/2022
55188,<= 5,<= 5,<= 5,9/14/2022
56757,476,461,125,9/14/2022
55777,<= 5,<= 5,<= 5,9/14/2022
56546,172,165,52,9/14/2022
55919,654,632,289,9/14/2022
56535,708,668,255,9/14/2022
56096,1818,1749,717,9/14/2022
56162,151,150,63,9/14/2022
56741,16,16,<= 5,9/14/2022
55069,2848,2710,1082,9/14/2022
55764,238,234,80,9/14/2022
56744,294,274,72,9/14/2022
56573,4416,4213,1611,9/14/2022
55380,<= 5,<= 5,<= 5,9/14/2022
56043,298,286,120,9/14/2022
55063,5013,4791,1915,9/14/2022
56472,4721,4501,1843,9/14/2022
56543,153,139,41,9/14/2022
55434,22473,21194,9274,9/14/2022
56319,689,669,259,9/14/2022
55339,535,522,174,9/14/2022
55406,29866,27800,18305,9/14/2022
56560,28020,25649,11341,9/14/2022
55393,<= 5,<= 5,<= 5,9/14/2022
56241,2279,2179,879,9/14/2022
56527,393,376,105,9/14/2022
55116,21572,20394,13350,9/14/2022
56136,768,745,261,9/14/2022
56379,10402,9895,4286,9/14/2022
55454,5189,4454,1589,9/14/2022
55359,4540,4305,1938,9/14/2022
56474,2007,1901,747,9/14/2022
56720,15,13,<= 5,9/14/2022
55392,6,6,<= 5,9/14/2022
56561,102,95,43,9/14/2022
55431,15895,15074,8569,9/14/2022
55990,555,544,185,9/14/2022
55723,1598,1537,633,9/14/2022
55002,<= 5,<= 5,<= 5,9/14/2022
56022,40,39,8,9/14/2022
55412,15775,14429,6912,9/14/2022
